educ,IQ,lwage
11,81,5.480638981
17,119,6.023447514
12,83,6.742880821
16,101,6.773080349
14,75,5.579730034
16,109,6.732210636
16,111,6.357842445
12,104,5.278114796
12,72,6.163314819
11,87,6.214608192
16,106,6.851184845
16,118,6.253829002
15,103,6.161207199
12,95,6.251904011
12,91,5.926926136
16,101,6.163314819
16,121,5.973809719
12,65,6.214608192
12,85,6.163314819
12,70,5.899897575
11,65,5.638354778
12,90,5.572154045
18,110,6.919683933
17,102,6.72503376
9,67,5.846438885
11,68,5.703782558
11,88,5.926926136
12,94,6.035481453
10,97,6.762729645
13,98,6.251904011
13,101,6.762729645
17,115,6.751101494
18,122,6.722630024
16,117,6.774223804
14,105,7.22548151
16,113,6.111467361
18,101,6.527957916
13,113,6.816735744
13,88,6.751101494
12,93,5.926926136
16,117,6.089045048
12,83,6.01615715
15,103,5.703782558
16,113,6.54102993
18,124,6.919683933
15,123,6.11368227
18,98,6.198478699
14,107,6.357842445
12,114,6.484635353
16,119,6.563855648
14,82,6.23636961
12,89,6.43775177
14,111,6.13122654
14,104,6.43775177
12,65,6.354370117
13,73,6.025866032
13,77,6.154858112
12,74,6.253829002
12,77,6.194405556
18,98,6.052089214
12,75,6.282266617
13,97,6.613384247
12,96,5.768321037
17,99,6.406879902
12,68,5.783825397
13,83,6.710523129
12,97,6.697034359
12,98,5.924255848
12,95,5.703782558
18,103,6.463029385
12,105,6.371612072
12,86,5.783825397
13,102,6.484635353
13,95,6.424869061
16,100,6.309918404
10,81,6.43775177
10,85,6.214608192
10,86,6.001414776
10,79,5.616771221
18,101,6.396929741
13,100,6.357842445
12,84,5.926926136
12,74,5.717027664
14,86,5.616771221
16,92,6.463029385
14,107,6.453625202
12,93,6.511745453
9,69,5.926926136
17,113,6.646390438
17,114,6.32435894
18,126,7.474771976
12,92,6.543911934
12,127,6.232448101
12,109,6.70686245
12,97,6.396929741
11,66,6.228510857
12,78,6.406879902
16,109,6.973543167
14,93,7.39939785
16,109,6.756932259
14,105,6.628041267
15,105,6.620073318
12,104,6.082219124
12,66,7.008505344
17,122,5.673323154
12,103,5.805134773
13,100,6.0330863
13,85,6.43775177
12,81,6.135564804
18,105,6.253829002
14,116,5.010635376
18,121,5.953243256
15,109,6.357842445
18,121,6.287858486
17,126,6.685861111
17,120,6.214608192
13,78,6.795705795
14,54,6.43775177
14,60,5.777652264
12,98,6.357842445
10,94,5.484797001
17,128,6.630683422
16,94,7.590346813
12,98,6.543911934
16,105,6.196444035
13,87,5.697093487
13,71,5.730099678
13,117,7.000334263
11,94,6.023447514
12,88,6.214608192
15,85,6.378426075
13,102,6.43775177
16,116,6.65672636
13,82,5.991464615
18,114,7.150701523
12,65,6.511745453
10,84,5.634789467
18,105,7.602401257
16,101,6.645091057
16,108,6.763885021
15,93,6.779922009
12,96,6.309918404
14,92,6.413458824
13,107,6.357842445
16,106,6.714170456
17,98,6.551080227
11,73,5.730099678
17,119,6.762729645
14,82,6.511745453
13,115,6.739336491
14,77,6.785587788
14,101,6.54102993
12,97,6.746412277
12,110,6.603943825
14,86,6.175867081
16,126,6.678342342
12,96,6.767343044
16,117,6.357842445
17,111,7.233455181
12,67,6.514712811
12,102,6.48768425
15,95,7.090076923
12,64,7.656810284
10,118,6.388561249
15,104,6.72503376
15,107,5.991464615
14,118,6.580639362
12,71,5.117993832
14,114,6.146329403
18,118,6.466144562
13,75,6.396929741
12,149,5.991464615
13,108,6.907755375
14,108,6.501289845
14,112,6.665683746
15,108,6.502789974
10,93,5.703782558
16,119,6.546785355
14,94,6.082219124
13,68,6.529418945
14,103,6.025866032
12,104,6.621405602
13,119,5.442417622
16,90,6.224558353
16,129,6.396929741
18,125,6.964135647
15,100,6.440946579
16,112,6.956545353
18,128,6.890609264
18,84,7.156176567
12,84,6.70686245
17,120,6.214608192
12,97,6.579251289
12,102,6.287858486
11,91,5.703782558
18,131,6.903747082
17,107,6.366470337
16,126,5.442417622
16,107,6.289715767
15,92,6.442540169
16,92,5.442417622
18,119,6.573680401
15,76,6.214608192
11,107,5.298317432
16,111,7.008505344
12,92,6.368186951
16,115,6.001414776
13,114,6.4264884
16,123,5.624017715
17,107,6.869014263
15,107,6.539586067
12,105,6.33327961
14,111,6.511745453
16,107,6.752270222
16,117,5.56068182
15,116,6.354370117
13,108,6.439350605
12,115,7.274479389
14,101,5.817111015
12,98,6.357842445
15,87,5.52146101
15,95,6.945051193
18,114,6.993933201
18,116,6.135564804
12,90,6.43775177
16,115,6.705638885
14,113,5.888877869
12,87,5.768321037
16,91,5.849324703
12,86,6.758094311
10,90,5.641907215
12,125,6.549650669
12,107,6.421622276
11,88,6.070737839
16,117,6.280395985
16,92,6.43775177
18,122,6.357842445
12,98,6.736967087
16,123,6.001414776
18,116,6.921658039
16,114,5.783825397
15,91,6.647688389
14,125,6.551080227
17,126,6.306275368
16,101,6.43775177
16,101,6.81454277
12,116,6.613384247
12,103,6.513230324
16,113,6.705638885
15,111,6.646390438
15,116,6.588926315
14,94,6.533788681
14,108,6.327936649
16,123,6.214608192
16,109,6.587550163
16,124,6.869014263
17,89,6.421622276
13,114,7.050989628
13,121,6.514712811
12,103,6.045005322
12,96,6.968850613
18,117,7.069023609
15,108,6.747586727
12,100,7.090076923
14,104,6.309918404
15,91,6.685861111
12,97,6.297109127
14,94,6.620073318
14,103,6.109247684
12,101,6.751101494
14,94,6.590301037
12,112,6.54102993
10,73,6.93244791
14,104,7.050989628
15,105,6.588926315
14,106,6.282266617
12,101,6.276643276
13,86,5.666426659
17,119,5.746203423
13,83,6.001414776
18,114,7.003065586
12,104,6.492239952
12,99,6.070737839
17,126,5.991464615
15,101,5.572154045
16,109,6.357842445
12,110,6.070737839
17,104,6.152732849
17,118,5.54126358
13,103,6.507277489
12,90,6.955592632
17,98,7.520776272
15,112,6.645091057
11,64,6.533788681
16,128,6.171700478
16,113,5.831882477
14,102,6.809039116
12,93,5.860786438
12,92,6.652863026
12,124,6.551080227
16,119,6.383506775
12,96,6.278521538
16,110,6.0330863
18,118,7.239932537
12,96,6.306275368
11,80,6.48768425
13,137,6.436150551
16,113,6.091310024
15,93,6.357842445
13,93,6.291569233
15,116,6.734591484
14,106,6.584791183
12,69,6.357842445
12,78,6.23636961
15,87,5.739792824
12,99,6.357842445
12,92,6.447305679
16,113,6.501289845
14,119,5.991464615
13,98,6.047372341
16,99,6.472346306
16,112,6.733401775
15,115,6.43775177
9,96,6.907755375
16,117,6.823286057
12,96,6.593044758
14,75,6.180016518
12,108,6.018593311
17,92,6.214608192
15,95,6.597145557
13,88,6.129050255
16,106,6.580639362
15,95,6.549650669
14,94,6.665683746
16,105,6.82979393
14,115,6.107022762
15,117,5.783825397
18,93,6.152732849
12,115,6.293419361
18,117,6.304448605
16,98,6.357842445
16,105,6.973543167
12,109,6.580639362
17,95,6.511745453
17,120,6.605298042
12,96,7.298445225
13,91,6.685861111
13,109,6.309918404
12,87,6.291569233
16,110,6.672032833
14,97,6.54102993
16,110,5.52146101
9,74,6.453625202
12,95,6.023447514
12,97,5.703782558
13,98,5.874930859
12,105,5.991464615
12,85,6.023447514
14,105,6.274762154
16,122,6.453625202
14,114,4.969813347
14,129,6.309918404
12,100,6.186208725
17,108,6.393590927
16,122,6.684611797
16,119,6.699500561
17,129,6.070737839
17,79,6.621405602
14,109,5.683579922
12,105,6.056784153
12,90,6.551080227
14,101,6.295266151
12,83,6.173786163
16,111,6.230481625
12,110,6.583409309
12,92,5.393627644
13,113,7.091742039
13,115,5.991464615
16,109,6.398594856
12,114,6.175867081
16,110,6.551080227
12,102,6.645091057
14,118,6.270988464
16,112,6.109247684
10,86,6.33327961
13,114,6.475432873
16,102,6.577861309
12,105,6.986566544
16,83,6.511745453
18,107,5.857933044
14,81,6.645091057
12,85,6.47697258
9,72,6.621405602
12,86,5.993961334
12,68,6.109247684
17,115,5.153291702
12,95,5.56068182
16,87,5.953243256
17,116,6.705638885
16,95,6.869014263
13,94,6.011267185
14,96,6.429719448
12,99,5.438079357
18,106,7.051855564
12,85,6.214608192
12,100,6.620073318
15,92,5.777652264
13,101,6.945051193
16,104,6.196444035
13,88,6.26339817
15,97,6.6025877
14,83,6.395261765
18,71,7.030857563
14,100,6.398594856
12,96,5.459585667
13,113,5.393627644
16,117,5.991464615
15,101,6.047372341
12,65,5.669880867
13,87,5.940171242
12,116,6.486160755
12,106,6.566672325
14,93,6.175867081
16,112,6.463029385
12,98,6.390240669
16,103,7.338238239
12,103,6.756932259
12,91,5.730099678
14,118,6.396929741
13,87,6.291569233
13,100,5.840641499
12,96,6.214608192
18,62,5.934894085
15,60,5.236442089
12,83,6.907755375
12,100,6.335054398
12,123,6.287858486
13,67,5.872117996
13,104,6.933423042
17,106,5.686975479
12,85,6.309918404
12,81,6.287858486
12,109,6.566672325
12,76,5.433722019
12,73,5.393627644
12,62,5.736572266
12,76,5.768321037
12,76,5.713732719
13,104,6.109247684
12,103,6.082219124
16,106,6.740519524
14,112,5.746203423
12,94,6.061457157
14,83,6.194405556
14,91,5.991464615
11,81,6.551080227
10,87,5.942799568
12,118,6.142037392
13,74,6.0330863
13,85,6.309918404
13,96,6.274762154
12,73,6.086774826
12,75,6.12468338
12,95,6.082219124
12,102,6.309918404
16,107,6.47697258
11,86,6.047372341
13,104,6.040254593
14,106,5.298317432
12,95,6.570882797
12,116,5.986452103
9,66,5.986452103
16,101,6.598508835
12,96,6.533788681
12,104,6.120297432
16,138,6.357842445
16,105,6.549650669
16,106,5.926926136
12,67,5.393627644
16,97,5.831882477
15,108,5.662960529
18,125,6.763885021
12,106,6.070737839
12,99,5.991464615
12,96,6.304448605
14,114,6.214608192
16,117,5.872117996
12,105,6.396929741
12,106,6.47697258
12,102,6.742880821
12,75,5.666426659
14,99,6.12468338
13,90,6.023447514
16,101,6.475432873
13,115,6.450470448
16,118,6.580639362
12,108,6.816735744
13,101,5.926926136
18,127,6.383506775
16,114,6.638567924
11,76,5.616771221
16,132,6.869014263
12,50,6.43775177
12,84,5.808142662
12,55,6.43775177
12,73,5.883322239
12,61,5.998936653
11,84,6.137727261
14,71,5.991464615
16,84,6.028278351
18,101,7.273786545
13,69,5.583496094
11,80,5.783825397
10,69,5.365975857
12,104,6.533788681
10,92,6.12468338
16,102,6.595780373
13,97,5.814130306
12,83,6.175867081
12,98,6.464588165
10,70,6.350885868
12,90,5.826000214
13,87,5.991464615
15,96,5.703782558
10,80,6.363028049
14,102,5.771440983
12,79,6.163314819
16,104,6.315358162
18,104,6.580639362
13,101,6.591673851
12,115,5.749392986
17,107,6.511745453
16,98,6.180016518
16,96,6.645091057
12,99,6.439350605
16,112,6.688354492
16,118,6.102558613
15,83,5.765191078
16,107,6.423246861
12,91,5.869297028
18,96,6.052089214
12,89,5.579730034
14,118,6.054439545
12,113,5.52146101
17,116,6.327936649
12,105,5.666426659
16,120,5.973809719
12,107,6.357842445
17,94,5.846438885
16,98,7.156176567
17,126,6.762729645
14,96,6.023447514
14,84,6.001414776
12,108,6.580639362
12,104,6.357842445
12,110,6.214608192
12,96,5.52146101
12,106,5.043425083
12,68,6.006353378
12,83,5.857933044
12,66,6.135564804
10,70,6.214608192
16,104,6.740519524
12,87,6.357842445
16,110,5.991464615
11,87,6.608000755
14,100,5.857933044
12,91,6.082219124
16,109,6.621405602
18,112,6.357842445
16,106,6.001414776
12,94,6.423246861
12,95,5.953243256
15,89,6.510258198
12,85,6.43775177
10,97,6.214608192
12,83,5.802118301
12,99,6.371612072
13,75,5.768321037
11,68,5.703782558
16,107,6.603943825
12,74,5.953243256
13,105,6.463029385
11,51,6.109247684
12,100,6.685861111
9,75,5.926926136
13,83,6.282266617
10,86,5.888877869
9,96,5.703782558
12,90,6.32435894
12,86,6.186208725
12,102,6.396929741
12,101,6.280395985
16,84,7.102499485
17,116,6.357842445
14,99,5.52146101
12,107,5.991464615
13,116,5.703782558
15,109,6.030685425
16,76,6.606650352
15,72,5.609471798
14,105,6.448889256
16,65,5.666426659
12,98,5.808142662
12,93,5.723585129
18,108,6.350885868
12,74,6.137727261
12,107,5.963579178
16,110,7.008505344
16,114,5.501258373
12,72,5.991464615
10,117,5.703782558
16,107,6.315358162
12,114,6.013715267
16,107,5.820083141
13,120,6.259581566
16,97,6.24027586
14,130,6.53813982
16,107,6.052089214
12,100,6.295266151
12,103,6.224558353
17,108,6.38181591
16,111,6.037870884
16,114,5.926926136
17,112,5.910796642
11,95,6.082219124
17,138,6.428105354
16,96,6.453625202
12,105,6.214608192
12,98,6.774223804
11,62,5.298317432
12,67,5.501258373
12,83,6.694561958
17,97,6.869014263
16,112,6.610695839
12,102,6.109247684
11,70,6.677083492
14,92,6.135564804
10,90,5.416100502
13,83,6.357842445
10,75,5.298317432
16,95,6.289715767
16,104,5.869297028
11,85,5.52146101
16,114,6.54102993
12,82,6.040254593
12,65,5.90263319
16,113,6.816735744
11,100,5.828945637
9,68,6.137727261
12,76,5.298317432
15,101,5.752572536
16,78,6.43775177
12,72,5.537334442
9,75,6.109247684
12,101,6.109247684
12,100,5.572154045
14,105,6.068425655
16,82,6.24027586
16,79,5.953243256
13,102,6.214608192
12,77,6.152732849
12,109,6.214608192
12,107,6.569481373
